                 1            2            3 
1        5.8703126    7.5578467   -4.0954692 
2        7.5230125    3.2802012   -1.7621088 
3       14.0144925    1.9217973   -6.8479912 
4       -5.6787825    5.3604787   24.6544344 
5       -4.3601878   -4.7568942   -4.7124694 
6       -0.9740142    6.6950722    1.8696917 
7        6.7519014    2.9470669    1.1221286 
8        4.5538434    3.5583862   -1.2991908 
9        2.9292514   -4.8285978   -1.4464052 
10       1.3195569    0.0148645    5.5247454 
11       5.0202796    4.7868629   -4.2532761 
12       8.3864211  -15.4197083   -4.0913434 
13       3.6006486   -7.8323975   -1.8748653 
14      10.4821370   -2.9604978   -8.4832165 
15     -20.0165719  -12.3029804   20.7061933 
16      -0.6761607    7.3887800   -0.5420024 
17       2.0150685   -3.0336652    7.1783444 
18       1.7881213   -7.7680305   -0.7688428 
19       5.2439284   -3.4653375   -0.4901370 
20      -1.2117014   -0.0597439   -6.0565212 
21      -3.2603198   -5.1854703    1.2656044 
22      -8.6221817    0.1819228  -16.4078051 
23      -3.9784149    0.7262198   -7.8196162 
24       3.2033416    0.7421443   -6.6664249 
25     -29.5311515    5.0555969   16.6095945 
26       3.7115032   -2.4569985    4.6555265 
27      -5.8621808   -5.3150764   -0.4791425 
28      -5.3063269    1.5888081   -5.6263076 
29       0.0142474   -2.5912992   -5.6672894 
30       2.9920633    4.9753396   -1.4119843 
31      -5.5338015    2.6028864   -1.1940344 
32      -2.1096079   17.6057246   12.0326174 
33       7.7012730    0.9866982   -3.6224368 
