                 1            2            3            4            5            6 
1       -0.2384875   -0.1637069   -0.0859547   -0.0421493    0.0998825    0.0000000 
2       -0.1637069   -0.2142155   -0.1527270   -0.0845593    0.1104775    0.0000000 
3       -0.0859547   -0.1527270   -0.1389142   -0.0887475    0.0639102    0.0000000 
4       -0.0421493   -0.0845593   -0.0887475   -0.0665625    0.0322425    0.0000000 
5        0.0998825    0.1104775    0.0639102    0.0322425   -0.3020225    0.0000000 
6        0.0000000    0.0000000    0.0000000    0.0000000    0.0000000   -0.1838959 
7       -0.0365845   -0.0415804   -0.0242270   -0.0122512    0.0484357   -0.0000000 
8        0.0675406    0.1645453    0.1379681    0.0801061   -0.1828900    0.0000000 
9        0.0000000   -0.0000000   -0.0000000   -0.0000000    0.0000000   -0.0970578 
10      -0.0256024   -0.0644992   -0.0534610   -0.0307005    0.0344146   -0.0000000 
11      -0.0019444   -0.0249438   -0.0435024   -0.0328224    0.0035025    0.0014498 
12      -0.0249444   -0.0870344   -0.1041643   -0.0725427    0.0382062    0.0101922 
13      -0.0435038   -0.1041356   -0.1137003   -0.0805190    0.0475613    0.0066391 
14      -0.0328222   -0.0724997   -0.0804977   -0.0624272    0.0294545    0.0018316 
15      -0.0030068   -0.0279292   -0.0295286   -0.0163125    0.0053964    0.0025932 
16      -0.0023083   -0.0279926   -0.0378709   -0.0245898    0.0042995    0.0014169 
17      -0.0003827   -0.0079359   -0.0138334   -0.0100332    0.0006175    0.0002477 
18      -0.0446779   -0.1055582   -0.0856878   -0.0453950    0.0637377    0.0216790 
19      -0.0328751   -0.1059572   -0.1102250   -0.0681302    0.0537472    0.0048506 
20      -0.0047322   -0.0300037   -0.0403911   -0.0277563    0.0074119    0.0016891 
21      -0.0019444   -0.0249438   -0.0435024   -0.0328224    0.0035025   -0.0014498 
22      -0.0249444   -0.0870344   -0.1041643   -0.0725427    0.0382062   -0.0101922 
23      -0.0435038   -0.1041356   -0.1137003   -0.0805190    0.0475613   -0.0066391 
24      -0.0328222   -0.0724997   -0.0804977   -0.0624272    0.0294545   -0.0018316 
25      -0.0030068   -0.0279292   -0.0295286   -0.0163125    0.0053964   -0.0025932 
26       0.0023083    0.0279926    0.0378709    0.0245898   -0.0042995    0.0014169 
