                 1            2            3            4            5            6 
1       -0.1635455   -0.1703268   -0.0772403    0.2080708   -0.0000000   -0.0000000 
2       -0.1703268   -0.2432114   -0.1304762    0.2190583   -0.0000000   -0.0000000 
3       -0.0772403   -0.1304762   -0.0763618    0.0981265   -0.0000000   -0.0000000 
4        0.2080708    0.2190583    0.0981265   -0.2852812    0.0000001    0.0000001 
5       -0.0000000   -0.0000000   -0.0000000    0.0000001   -0.0364576    0.0000000 
6       -0.0000000   -0.0000000   -0.0000000    0.0000001    0.0000000   -0.0364577 
7       -0.0342193   -0.0968377   -0.0670421    0.0411041   -0.0014161    0.0215501 
8       -0.0968382   -0.1975635   -0.1239697    0.1228987   -0.0011368    0.0172987 
9       -0.0670426   -0.1239699   -0.0754168    0.0849275   -0.0001748    0.0026599 
10      -0.0340625   -0.0573096   -0.0308215    0.0430674   -0.0011286    0.0171744 
11       0.0020691    0.0072189    0.0051921   -0.0024118   -0.0076051   -0.0020755 
12      -0.0314869   -0.1098544   -0.0790112    0.0367016   -0.0020755    0.0238425 
13      -0.0342196   -0.0968399   -0.0670439    0.0411045   -0.0179550   -0.0120015 
14      -0.0968387   -0.1975651   -0.1239708    0.1228994   -0.0144126   -0.0096337 
15      -0.0670427   -0.1239702   -0.0754170    0.0849277   -0.0022161   -0.0014813 
16      -0.0340635   -0.0573123   -0.0308233    0.0430686   -0.0143097   -0.0095649 
17       0.0262337    0.0915285    0.0658309   -0.0305782    0.0141830    0.0146550 
18       0.0175352    0.0611798    0.0440029   -0.0204392    0.0146550    0.0020540 
19      -0.0342186   -0.0968368   -0.0670417    0.0411032    0.0193707   -0.0095485 
20      -0.0968376   -0.1975628   -0.1239694    0.1228979    0.0155494   -0.0076648 
21      -0.0670426   -0.1239698   -0.0754168    0.0849274    0.0023909   -0.0011786 
22      -0.0340621   -0.0573100   -0.0308221    0.0430668    0.0154378   -0.0076098 
23      -0.0283021   -0.0987448   -0.0710212    0.0329892    0.0177777   -0.0125792 
24       0.0139510    0.0486745    0.0350086   -0.0162614   -0.0125792   -0.0015407 
25      -0.1154897   -0.2949242   -0.1642077    0.1591857   -0.0000000    0.0000000 
26      -0.2810909   -0.5147671   -0.3082570    0.3674868   -0.0000000    0.0000000 
27      -0.2807459   -0.1829505   -0.0259645    0.3955981   -0.0000001   -0.0000001 
28      -0.0000000   -0.0000002   -0.0000001    0.0000000   -0.1074554    0.0000001 
