                 1            2            3            4            5            6 
1       -0.0781262   -0.1138911   -0.0779676   -0.0420665    0.1086321    0.0000000 
2       -0.1138911   -0.2216499   -0.1771492   -0.1016171    0.1687133    0.0000000 
3       -0.0779676   -0.1771492   -0.1568402   -0.0936903    0.1160284    0.0000000 
4       -0.0420665   -0.1016171   -0.0936903   -0.0568454    0.0625379    0.0000000 
5        0.1086321    0.1687133    0.1160284    0.0625379   -0.1662363   -0.0000000 
6        0.0000000    0.0000000    0.0000000    0.0000000   -0.0000000   -0.0165040 
7       -0.0419918   -0.0650697   -0.0447727   -0.0241444    0.0577805   -0.0000000 
8        0.1361702    0.3060078    0.2602180    0.1525444   -0.2131692   -0.0000000 
9       -0.0000000   -0.0000000   -0.0000000   -0.0000000   -0.0000000   -0.0213902 
10      -0.0526270   -0.1170783   -0.0991574   -0.0580393    0.0738486    0.0000000 
11      -0.0139910   -0.0513690   -0.0581665   -0.0377670    0.0218759    0.0071740 
12      -0.0513689   -0.1525606   -0.1544741   -0.0966409    0.0801344    0.0107895 
13      -0.0581664   -0.1544740   -0.1492491   -0.0920113    0.0882495    0.0040189 
14      -0.0377669   -0.0966408   -0.0920112   -0.0564726    0.0565480    0.0009201 
15      -0.0171509   -0.0494113   -0.0476053   -0.0290709    0.0269173    0.0080812 
16      -0.0153581   -0.0640038   -0.0744170   -0.0485121    0.0251137    0.0077521 
17      -0.0039443   -0.0240027   -0.0314865   -0.0212454    0.0055129    0.0040973 
18      -0.0684920   -0.1555742   -0.1314456   -0.0766093    0.1059720    0.0129760 
19      -0.0654600   -0.2007463   -0.2037596   -0.1273411    0.1044692    0.0048098 
20      -0.0178085   -0.0737576   -0.0844427   -0.0547777    0.0248133    0.0059712 
21      -0.0139910   -0.0513690   -0.0581665   -0.0377670    0.0218759   -0.0071740 
22      -0.0513689   -0.1525606   -0.1544741   -0.0966409    0.0801344   -0.0107895 
23      -0.0581664   -0.1544740   -0.1492491   -0.0920113    0.0882495   -0.0040189 
